open,close,low,high,volume
65.10713957,65.23999786,64.75142671,65.25714114,51562700
65.43000029,66.07714086,65.23714443,66.12142943,68695900
66.384285,67.06428529,66.021431,67.23857114,79713900
66.86000057,66.46428686,66.02428443,67.412857,83714400
66.25714114,66.42571257,65.96714014,66.71428686,74714500
66.26571657,65.85857386,65.42142486,66.300003,63944300
65.51999671,64.92142486,64.80714414,65.77999871,66716300
65.26571657,66.76571657,65.23285671,66.949997,91108500
67.27714543,69.93856814,66.86428829,70.66571814,220485300
71.12571714,71.21428686,70.48571771,72.03571314,189093100
70.91714471,71.12999729,69.86856843,71.771431,122573500
71.449997,71.76142886,71.26571657,71.84857171,90576500
72.04856871,72.53428643,72,73.39142614,127629600
72.815712,71.58142857,71.54571529,72.93856814,89672100
71.94142914,71.76571657,71.59999843,72.449997,83969900
72.13999943,71.85142514,71.17142486,72.22714229,61051900
71.89571386,71.57428743,71.33571629,71.90714257,55682900
71.53571314,71.85285943,71.5,72.88571171,82741400
71.14286043,69.79856871,69.47142786,71.78713986,106047200
69.42857357,70.12857057,69.42857357,70.82857514,76902000
70.23571771,70.24285886,70.16143043,70.92857357,59914400
70.28571314,69.60285943,69.5,70.42142486,68074300
70.44285586,69.797142,69.62142943,71.51428229,82982200
71.365715,71.24143214,70.89714057,71.74857329,86258200
71.46428686,70.75285343,70.51999671,71.525711,59091900
71.20571143,71.17428586,69.99285886,71.33999629,89881400
72.14286043,72.30999757,71.92571257,72.55999757,85171800
72.31428529,70.662857,69.92857357,72.49285886,185798900
66.71571357,66.815712,66.40142829,67.66999814,224674100
66.92857357,67.52714543,66.57286071,67.91428371,101012800
67.04856871,66.41428371,66.38571171,67.40428929,74708900
65.85713957,64.30285643,63.88857271,65.94428257,135926700
63.99428557,65.04571529,63.92856986,65.67285914,99845200
66.16857143,66.38285829,65.80857086,66.62142943,114215500
67.24285886,67.47142786,67.03571314,67.97571557,101135300
68.28571314,66.77285771,66.57142643,68.36428829,174825700
70.87142943,70.09143071,68.94285586,70.98714443,190526700
70.69714357,69.87142943,69.68856814,70.78142543,91086100
69.88571171,68.79000086,68.775711,69.94857029,79239300
69.42857357,69.45999914,69.12857057,69.79428857,59305400
69.11142729,68.96428686,68.67428586,69.23857114,57010100
68.17857357,68.10713957,67.77285771,68.80857086,65039100
68.34999843,69.70857243,68.33999629,69.87714386,88470900
69.37571714,69.93714143,69.10713957,70.25714114,72296000
70.07286071,69.05857086,68.67713929,70.33571629,80688300
69.12285614,69.00428771,68.37142943,69.228569,64717100
69.50856786,69.67857357,69.33571629,70.37857057,78073100
69.99143214,68.70571143,68.64857486,70.09143071,72729300
69.23428343,69.51285557,68.32571414,69.684288,75431300
70.18856814,69.94857029,69.57714086,70.33999629,69650700
69.56999971,70.40142829,69.30857086,70.54856871,66934700
69.97571557,70.862854,69.90714257,71.08285529,65474500
71.07286071,71.23999786,70.78857429,71.71428686,80018400
71.54142757,71.587143,71.318573,71.79000086,62775300
71.42571257,72.07142643,71.38285829,72.11142729,63398300
72.28428643,72.69857029,72.24428557,72.75142671,72635500
73.11000057,74.48000329,73.07428743,74.90000157,99526700
75.20143129,74.26714329,72.57571414,75.49285886,133515900
74.14286043,74.99428557,74.14286043,75.09571071,78430800
75,75.98714443,74.63571171,76.06714629,96191200
75.90285486,75.137146,75.01571657,76.17571257,84448000
75.57714086,75.69714357,74.74428557,75.85713957,137610200
76.61000057,73.81143186,73.50571443,77.03571314,158951800
74.23000329,74.98571771,73.86000057,75.36000057,88540900
75,74.67142486,74.46714014,75.35571286,68924100
74.86000057,74.29000086,73.69142914,74.97142786,68722500
74.44285586,75.25,74.115715,75.26000214,61156900
74.94000243,75.06428529,74.71428686,75.55571743,66303300
74.87857057,74.41714471,74.02857214,74.98000329,55843900
74.22571557,73.21286014,73.19714357,74.74143214,65655100
73.51142886,74.365715,73.22714229,74.44714357,69829200
74.28428643,74.15000157,73.48714443,74.52428443,56863100
73.952858,74.28713986,73.85713957,74.84571071,51069200
74,74.37571714,73.85142514,74.60713957,49305200
74.68714143,75.45143129,74.55285643,75.61142729,70604800
75.22571557,74.99857329,74.92713929,75.58428186,79480100
74.99857329,74.08999629,74.02857214,75.31285857,61236000
74.14714057,74.22142786,73.99571229,74.76857,52234700
74.17571257,73.57142643,73.47571557,74.34571071,48479200
73.94285586,74.44857029,73.38143157,74.45857243,65506700
74.21714014,74.25714114,74.07571414,74.594284,55931400
74.431427,74.81999971,74.42857357,75.12428286,57327900
74.87428286,76.199997,74.85713957,76.59143071,100345700
76.615715,77.99428557,76.199997,78,90862100
78.49714657,79.43856814,78.25856786,79.76142886,79531900
79.71428686,78.74714657,78.68856814,80.61856843,118136200
79.75714114,80.90285486,79.66857143,80.91143043,112742000
80.78571314,80.71428686,80.11714171,81.31285857,94452400
81.80714414,81.12857057,80.91571814,82.162857,111895000
80.82714086,80.00285343,79.93856814,80.96428686,86088100
80.12857057,80.91857143,80.12857057,81.36856843,80123400
80.51142886,80.79285429,80.17142486,81.12571714,69567400
81,80.19428257,79.95571143,81.56714629,89929700
80.30571743,80.07714086,80.00428771,80.76285557,65572500
80.40714257,79.20428471,79.09571071,80.41143043,83205500
79.28857429,79.64286043,79.28713986,80.37714386,70648200
79.40142829,79.28428643,79.05428314,79.91999814,57475600
78.52857214,78.681427,76.97142786,78.77857214,141465800
78.5,77.77999871,77.67571257,78.57142643,80077200
77.91857143,78.431427,77.83142857,78.80142971,109103400
81.14286043,81.44142914,80.39428714,81.53142543,125326600
81.412857,81.09571071,80.86142729,81.69714357,41888700
81.15714257,80.55714414,80.48285671,81.35713957,51002000
80.54571529,80.01285557,79.92857357,80.62999729,56471100
79.637146,79.21714014,78.90285486,80.01285557,63407400
79.16714471,80.14571386,79.14286043,80.18285371,55771100
79.38285829,79.01857,78.86000057,79.57571414,58671200
78.98000329,77.28285986,77.20428471,79.09999843,98116900
76.77857214,77.70428471,76.228569,78.11428829,103152700
77.76000214,77.14857486,76.84571071,77.99428557,79302300
76.97285457,77.637146,76.95571143,77.93714143,64632400
78.11428829,76.64571386,76.478569,78.12285614,69787200
77.11856843,76.134285,75.87285614,77.25714114,76244000
75.70143129,76.53285986,75.69714357,77.5,94623200
76.88857271,78.05571743,76.80857086,78.10428614,83140400
79.07428743,79.62285614,78.80857086,80.02857214,97909700
79.271431,79.17857357,78.81143186,79.550003,57319500
78.78285986,77.23857114,77.12857057,78.86714171,106684900
77.28428643,78.43856814,77.202858,78.58142857,82131700
78.70143129,78.78713986,78.25856786,79.612854,94996300
78.56285857,79.45428471,77.83000186,79.5,100809800
79.14286043,78.01000214,77.82142643,79.37428286,107338700
